,OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,1stFlrSF,GrLivArea,FullBath,TotRmsAbvGrd,GarageCars,GarageArea,SalePrice,ExterQual_TA,BsmtQual_Ex,KitchenQual_Ex,KitchenQual_TA,ExterQual_Ex,BsmtQual_TA
31,5,1966,2006,1228.0,1228.0,1228.0,1,6.0,1.0,271.0,149350.0,1,0,0,0,0,1
32,8,2007,2007,1234.0,1234.0,1234.0,2,7.0,2.0,484.0,179900.0,0,1,0,0,0,0
33,5,1959,1959,1398.0,1700.0,1700.0,1,6.0,2.0,447.0,165500.0,1,0,0,0,0,1
34,9,2005,2005,1561.0,1561.0,1561.0,2,6.0,2.0,556.0,277500.0,0,1,1,0,1,0
35,8,2004,2005,1117.0,1132.0,2452.0,3,9.0,3.0,691.0,309000.0,0,1,0,0,0,0
36,5,1994,1995,1097.0,1097.0,1097.0,1,6.0,2.0,672.0,145000.0,1,0,0,1,0,0
37,5,1954,1990,1297.0,1297.0,1297.0,1,5.0,2.0,498.0,153000.0,1,0,0,1,0,1
38,5,1953,2007,1057.0,1057.0,1057.0,1,5.0,1.0,246.0,109000.0,1,0,0,0,0,1
39,4,1955,1955,42.0,1152.0,1152.0,2,6.0,0.0,0.0,82000.0,1,0,0,0,0,0
40,6,1965,1965,1088.0,1324.0,1324.0,2,6.0,2.0,440.0,160000.0,1,0,0,1,0,1
41,5,1959,1959,1350.0,1328.0,1328.0,1,5.0,1.0,308.0,170000.0,1,0,0,1,0,1
42,5,1983,1983,840.0,884.0,884.0,1,5.0,2.0,504.0,144000.0,1,0,0,0,0,0
43,5,1975,1980,938.0,938.0,938.0,1,5.0,1.0,308.0,130250.0,1,0,0,1,0,0
44,5,1959,1959,1150.0,1150.0,1150.0,1,6.0,1.0,300.0,141000.0,1,0,0,1,0,1
45,9,2005,2005,1752.0,1752.0,1752.0,2,6.0,2.0,576.0,319900.0,0,1,1,0,1,0
46,7,2003,2003,1434.0,1518.0,2149.0,1,6.0,2.0,670.0,239686.0,0,1,0,0,0,0
47,8,2006,2006,1656.0,1656.0,1656.0,2,7.0,3.0,826.0,249700.0,0,0,0,0,0,0
48,4,1920,2008,736.0,736.0,1452.0,2,8.0,0.0,0.0,113000.0,1,0,0,1,0,1
49,5,1966,1966,955.0,955.0,955.0,1,6.0,1.0,386.0,127000.0,1,0,0,1,0,1
50,6,1997,1997,794.0,794.0,1470.0,2,6.0,2.0,388.0,177000.0,1,0,0,1,0,0
51,6,1934,1950,816.0,816.0,1176.0,1,6.0,2.0,528.0,114500.0,1,0,0,1,0,1
52,5,1963,1963,816.0,816.0,816.0,1,5.0,2.0,516.0,110000.0,0,0,0,1,0,0
53,9,1981,1987,1842.0,1842.0,1842.0,0,5.0,3.0,894.0,340037.5,0,1,0,0,0,0
54,5,1955,1955,384.0,1360.0,1360.0,1,6.0,2.0,572.0,130000.0,1,0,0,1,0,1
55,6,1964,1964,1425.0,1425.0,1425.0,2,7.0,2.0,576.0,180500.0,1,0,0,1,0,1
56,8,1999,2000,970.0,983.0,1739.0,2,7.0,2.0,480.0,172500.0,0,0,0,0,0,0
57,7,2004,2004,860.0,860.0,1720.0,2,7.0,2.0,565.0,196500.0,0,0,0,0,0,0
58,10,2006,2006,1410.0,1426.0,2747.625,3,10.0,3.0,641.0,340037.5,0,1,0,0,1,0
59,5,1972,1972,780.0,780.0,780.0,1,4.0,1.0,352.0,124900.0,1,0,0,1,0,1
60,6,2004,2004,1158.0,1158.0,1158.0,1,5.0,2.0,576.0,158000.0,1,0,0,0,0,0
61,5,1920,1996,530.0,581.0,1111.0,1,6.0,1.0,288.0,101000.0,1,0,0,0,0,1
62,8,2006,2006,1370.0,1370.0,1370.0,2,6.0,2.0,484.0,202500.0,0,0,0,0,0,0
63,7,1921,1950,576.0,902.0,1710.0,2,9.0,2.0,480.0,140000.0,1,0,0,1,0,1
64,7,1997,1998,1057.0,1057.0,2034.0,2,8.0,2.0,645.0,219500.0,1,0,0,0,0,0
65,8,2004,2005,1143.0,1143.0,2473.0,2,9.0,3.0,852.0,317000.0,0,1,0,0,0,0
66,7,1970,1989,1947.0,2155.125,2207.0,2,7.0,2.0,576.0,180000.0,1,0,0,1,0,0
67,7,2003,2003,1453.0,1479.0,1479.0,2,7.0,2.0,558.0,226000.0,0,0,0,0,0,0
68,4,1945,1950,747.0,747.0,747.0,1,4.0,1.0,220.0,80000.0,1,0,0,1,0,1
69,7,1953,1953,1304.0,1304.0,2287.0,2,7.0,2.0,667.0,225000.0,0,0,0,1,0,1
70,7,1973,1973,2052.0,2155.125,2223.0,2,8.0,2.0,516.0,244000.0,1,0,0,1,0,0
71,4,1982,2006,845.0,845.0,845.0,1,4.0,2.0,360.0,129500.0,1,0,0,1,0,1
72,7,1998,1998,832.0,885.0,1718.0,2,7.0,2.0,427.0,185000.0,1,0,0,1,0,0
73,5,1954,2003,1086.0,1086.0,1086.0,1,6.0,2.0,490.0,144900.0,1,0,0,1,0,1
74,3,1915,1950,840.0,840.0,1605.0,2,8.0,1.0,379.0,107400.0,0,0,0,1,0,0
75,4,1973,1973,462.0,526.0,988.0,1,5.0,1.0,297.0,91000.0,1,0,0,1,0,0
76,4,1956,1956,952.0,952.0,952.0,1,4.0,1.0,283.0,135750.0,1,0,0,1,0,1
77,5,1948,2001,672.0,1072.0,1285.0,1,6.0,1.0,240.0,127000.0,1,0,0,1,0,1
78,4,1968,1968,1768.0,1768.0,1768.0,2,8.0,0.0,0.0,136500.0,1,0,0,1,0,1
79,5,1910,1981,440.0,682.0,1230.0,1,5.0,2.0,440.0,110000.0,1,0,0,1,0,1
80,6,1968,1968,896.0,1182.0,2142.0,2,8.0,1.0,509.0,193500.0,1,0,0,0,0,0
81,6,1998,1998,1237.0,1337.0,1337.0,2,5.0,2.0,405.0,153500.0,1,1,0,1,0,0
82,8,2007,2007,1563.0,1563.0,1563.0,2,6.0,3.0,758.0,245000.0,1,0,0,0,0,0
83,5,1960,1960,1065.0,1065.0,1065.0,1,6.0,2.0,461.0,126500.0,1,0,0,1,0,1
84,7,1995,1996,384.0,804.0,1474.0,2,7.0,2.0,400.0,168500.0,1,0,0,1,0,0
85,8,1991,1992,1288.0,1301.0,2417.0,2,9.0,2.0,462.0,260000.0,0,0,0,0,0,0
86,6,2005,2005,684.0,684.0,1560.0,2,6.0,2.0,400.0,174000.0,0,0,0,0,0,0
87,6,2009,2009,612.0,612.0,1224.0,2,4.0,2.0,528.0,164500.0,0,0,0,0,0,0
88,3,1915,1982,1013.0,1013.0,1526.0,1,6.0,0.0,0.0,85000.0,0,0,0,0,0,1
89,4,1994,1995,990.0,990.0,990.0,1,5.0,0.0,0.0,123600.0,1,0,0,1,0,0
90,4,1950,1950,42.0,1040.0,1040.0,1,4.0,2.0,420.0,109900.0,1,0,0,1,0,0
91,5,1961,1961,1235.0,1235.0,1235.0,1,6.0,2.0,480.0,98600.0,1,0,0,1,0,1
92,5,1921,2006,876.0,964.0,964.0,1,5.0,2.0,432.0,163500.0,1,0,0,1,0,0
93,6,1910,1998,1214.0,1260.0,2291.0,2,9.0,2.0,506.0,133900.0,1,0,0,1,0,1
94,6,1997,1997,824.0,905.0,1786.0,2,7.0,2.0,684.0,204750.0,1,0,0,0,0,0
95,6,1993,1993,680.0,680.0,1470.0,2,6.0,2.0,420.0,185000.0,0,0,0,1,1,0
96,7,1999,1999,1588.0,1588.0,1588.0,2,6.0,2.0,472.0,214000.0,0,0,0,0,0,0
97,4,1965,1965,960.0,960.0,960.0,1,6.0,1.0,432.0,94750.0,1,0,0,1,0,1
98,5,1920,1950,458.0,835.0,835.0,1,5.0,1.0,366.0,83000.0,1,0,0,1,0,1
99,4,1959,1959,950.0,1225.0,1225.0,1,6.0,0.0,0.0,128950.0,1,0,0,1,0,1
100,6,1977,2001,1610.0,1610.0,1610.0,2,6.0,2.0,480.0,205000.0,1,0,0,0,0,1
101,6,1985,1985,741.0,977.0,1732.0,2,7.0,2.0,476.0,178000.0,0,0,0,0,0,0
102,5,1979,1979,42.0,1535.0,1535.0,2,8.0,2.0,410.0,118964.0,1,0,0,1,0,0
103,7,2009,2009,1226.0,1226.0,1226.0,2,6.0,3.0,740.0,198900.0,1,0,0,0,0,0
104,7,1931,1950,1040.0,1226.0,1818.0,1,7.0,1.0,240.0,169500.0,1,0,0,1,0,1
105,8,2003,2004,1053.0,1053.0,1992.0,2,9.0,2.0,648.0,250000.0,0,1,0,0,0,0
106,4,1885,1995,641.0,1047.0,1047.0,1,6.0,1.0,273.0,100000.0,1,0,0,1,0,0
107,5,1948,1950,789.0,789.0,789.0,1,5.0,1.0,250.0,115000.0,1,0,0,1,0,1
108,5,1919,2005,793.0,997.0,1517.0,2,7.0,0.0,0.0,115000.0,1,0,0,0,0,1
109,6,1977,1977,1844.0,1844.0,1844.0,2,7.0,2.0,546.0,190000.0,1,0,0,1,0,0
110,6,1954,1972,994.0,1216.0,1855.0,2,7.0,1.0,325.0,136900.0,1,0,0,1,0,1
111,7,2000,2000,384.0,774.0,1430.0,2,7.0,2.0,400.0,180000.0,1,0,0,1,0,0
112,7,2007,2007,1264.0,1282.0,2696.0,2,10.0,3.0,792.0,340037.5,0,1,1,0,0,0
113,6,1953,1953,1809.0,2155.125,2259.0,2,7.0,2.0,450.0,217000.0,1,0,0,0,0,0
114,6,1945,2002,1028.0,1436.0,2320.0,2,9.0,1.0,180.0,259500.0,1,0,0,0,0,1
115,6,1999,1999,729.0,729.0,1458.0,2,5.0,2.0,440.0,176000.0,1,0,0,1,0,0
116,5,1962,1962,1092.0,1092.0,1092.0,1,6.0,1.0,288.0,139000.0,1,0,0,1,0,1
117,5,2006,2007,1125.0,1125.0,1125.0,1,5.0,2.0,430.0,155000.0,1,0,0,1,0,0
118,7,1990,1990,1673.0,1699.0,2747.625,3,10.0,3.0,594.0,320000.0,1,0,0,0,0,0
119,6,2005,2006,728.0,728.0,1456.0,2,8.0,2.0,390.0,163990.0,0,0,0,0,0,0
120,6,1969,1969,938.0,988.0,988.0,1,4.0,2.0,540.0,180000.0,1,0,0,1,0,1
121,4,1939,1950,732.0,772.0,1123.0,1,4.0,1.0,264.0,100000.0,1,0,0,1,0,1
122,6,1958,1958,1080.0,1080.0,1080.0,1,5.0,1.0,288.0,136000.0,1,0,0,1,0,1
123,6,1993,1993,1199.0,1199.0,1199.0,2,5.0,2.0,530.0,153900.0,0,0,0,0,0,0
124,6,1979,1998,1362.0,1586.0,1586.0,2,7.0,2.0,435.0,181000.0,1,0,0,1,0,0
125,6,1935,1982,520.0,520.0,754.0,1,5.0,0.0,0.0,84500.0,1,0,0,1,0,1
126,6,1976,1976,1078.0,958.0,958.0,2,5.0,2.0,440.0,128000.0,1,0,0,1,0,0
127,5,1930,1950,672.0,840.0,840.0,1,5.0,0.0,0.0,87000.0,1,0,0,1,0,1
128,6,1966,1966,660.0,660.0,1348.0,1,6.0,2.0,453.0,155000.0,1,0,0,1,0,1
129,5,1958,1991,1008.0,1053.0,1053.0,1,6.0,2.0,750.0,150000.0,1,0,1,0,0,1
130,7,1966,1966,924.0,1216.0,2157.0,2,8.0,2.0,487.0,226000.0,1,0,0,0,0,1
131,6,2000,2000,992.0,1022.0,2054.0,2,7.0,2.0,390.0,244000.0,0,0,0,0,0,0
132,5,1959,2002,1063.0,1327.0,1327.0,1,7.0,2.0,624.0,150750.0,1,0,0,0,0,1
133,8,2001,2002,1267.0,1296.0,1296.0,2,6.0,2.0,471.0,220000.0,0,1,0,0,0,0
134,5,1968,1993,1461.0,1721.0,1721.0,2,7.0,2.0,440.0,180000.0,1,0,0,1,0,1
135,7,1970,1970,1304.0,1682.0,1682.0,2,7.0,2.0,530.0,174000.0,1,0,0,1,0,1
136,5,1967,1967,1214.0,1214.0,1214.0,2,5.0,1.0,318.0,143000.0,1,0,0,1,0,1
137,7,1988,1989,1907.0,1959.0,1959.0,3,9.0,3.0,766.0,171000.0,1,0,0,1,0,1
138,8,1999,2000,1004.0,1004.0,1852.0,2,7.0,3.0,660.0,230000.0,0,0,0,0,0,0
139,6,1997,1997,928.0,928.0,1764.0,2,7.0,2.0,470.0,231500.0,1,0,0,0,0,0
140,4,1971,1971,864.0,864.0,864.0,1,5.0,0.0,0.0,115000.0,1,0,0,1,0,1
141,7,2005,2005,1734.0,1734.0,1734.0,2,7.0,2.0,660.0,260000.0,0,0,0,0,0,0
142,5,1952,1952,910.0,910.0,1385.0,2,6.0,2.0,720.0,166000.0,1,0,0,1,0,1
143,7,1999,1999,1490.0,1501.0,1501.0,2,6.0,2.0,577.0,204000.0,0,0,0,0,0,0
144,5,1963,1963,1728.0,1728.0,1728.0,2,10.0,2.0,504.0,125000.0,1,0,0,1,0,1
145,6,2004,2006,970.0,970.0,1709.0,2,7.0,2.0,380.0,130000.0,0,0,0,0,0,0
146,5,1931,1993,715.0,875.0,875.0,1,5.0,1.0,180.0,105000.0,1,0,0,1,0,1
147,7,2001,2001,884.0,884.0,2035.0,2,8.0,2.0,434.0,222500.0,0,0,0,0,0,0
148,7,2004,2005,1080.0,1080.0,1080.0,1,6.0,0.0,0.0,141000.0,1,0,0,0,0,0
149,5,1936,1950,896.0,896.0,1344.0,1,7.0,1.0,240.0,115000.0,1,0,0,1,0,0
150,5,1975,1975,969.0,969.0,969.0,1,5.0,2.0,440.0,122000.0,1,0,0,1,0,1
151,8,2007,2008,1710.0,1710.0,1710.0,2,6.0,3.0,866.0,340037.5,0,1,0,0,0,0
152,6,1971,1971,825.0,1097.0,1993.0,2,8.0,2.0,495.0,190000.0,1,0,0,1,0,1
153,6,1960,1975,1602.0,1252.0,1252.0,1,4.0,2.0,564.0,235000.0,1,0,0,1,0,0
154,6,1923,1950,1200.0,1200.0,1200.0,1,7.0,1.0,312.0,125000.0,1,0,0,1,0,1
155,6,1924,1950,572.0,572.0,1096.0,1,5.0,0.0,0.0,79000.0,1,0,0,1,0,1
156,5,1950,1950,42.0,1040.0,1040.0,1,5.0,2.0,625.0,109500.0,1,0,0,1,0,0
157,8,2009,2010,774.0,774.0,1968.0,2,8.0,3.0,680.0,269500.0,0,1,1,0,0,0
158,7,2004,2005,991.0,991.0,1947.0,2,8.0,2.0,678.0,254900.0,0,0,0,0,0,0
159,7,2005,2006,1392.0,1392.0,2462.0,2,9.0,2.0,576.0,320000.0,0,0,0,0,0,0
160,6,1984,1984,1232.0,1232.0,1232.0,2,6.0,2.0,516.0,162500.0,1,0,0,1,0,0
161,9,2003,2004,1572.0,1572.0,2668.0,2,10.0,3.0,726.0,340037.5,0,1,1,0,0,0
162,7,2005,2005,1541.0,1541.0,1541.0,2,7.0,2.0,532.0,220000.0,0,0,0,0,0,0
163,4,1956,1956,882.0,882.0,882.0,1,4.0,0.0,0.0,103200.0,1,0,0,1,0,1
164,6,1926,2004,1149.0,1149.0,1616.0,2,5.0,1.0,216.0,152000.0,1,0,0,0,0,1
165,5,1940,1999,644.0,808.0,1355.0,2,6.0,0.0,0.0,127500.0,1,0,0,1,0,1
166,5,1955,1993,1617.0,1867.0,1867.0,1,7.0,1.0,303.0,190000.0,0,0,0,1,0,1
167,8,2007,2007,1582.0,1610.0,2161.0,1,8.0,3.0,789.0,325624.0,0,1,1,0,0,0
168,7,2004,2004,840.0,840.0,1720.0,2,7.0,2.0,440.0,183500.0,0,0,0,0,0,0
169,8,1981,1981,1686.0,1707.0,1707.0,2,6.0,2.0,511.0,228000.0,0,0,0,1,0,0
170,5,1941,1950,720.0,854.0,1382.0,1,7.0,2.0,660.0,128500.0,1,0,0,1,0,1
171,6,1960,1960,1080.0,1656.0,1656.0,1,7.0,2.0,528.0,215000.0,1,0,0,1,0,1
172,7,1987,1987,1064.0,1064.0,1767.0,2,5.0,2.0,504.0,239000.0,0,0,0,0,0,0
173,6,1961,1961,1362.0,1362.0,1362.0,1,6.0,2.0,504.0,163000.0,1,0,0,1,0,1
174,6,1986,1986,1606.0,1651.0,1651.0,2,7.0,2.0,616.0,184000.0,1,0,0,1,0,0
175,6,1950,2001,1202.0,2155.125,2158.0,2,7.0,2.0,576.0,243000.0,1,0,0,0,0,1
176,6,1988,1989,1151.0,1164.0,2060.0,2,8.0,2.0,521.0,211000.0,0,0,0,1,0,0
177,5,1958,1958,1052.0,1252.0,1920.0,2,8.0,2.0,451.0,172500.0,0,0,0,0,0,1
178,9,2008,2009,2052.0,2155.125,2234.0,2,9.0,3.0,938.25,340037.5,0,1,1,0,1,0
179,5,1923,2006,968.0,968.0,968.0,1,5.0,2.0,480.0,100000.0,0,0,0,1,0,1
180,6,2000,2000,756.0,769.0,1525.0,2,5.0,2.0,440.0,177000.0,0,0,0,0,0,0
181,7,1920,1950,793.0,901.0,1802.0,1,9.0,1.0,216.0,200100.0,1,0,0,1,0,0
182,5,1957,2006,42.0,1340.0,1340.0,1,7.0,1.0,252.0,120000.0,1,0,0,1,0,0
183,7,2003,2003,1362.0,1362.0,2082.0,2,6.0,2.0,484.0,200000.0,1,0,0,0,0,0
184,5,1908,1991,504.0,936.0,1252.0,1,5.0,2.0,576.0,127000.0,1,0,0,1,0,0
185,10,1892,1993,1107.0,1518.0,2747.625,2,10.0,3.0,840.0,340037.5,0,0,1,0,0,1
186,7,1990,1991,1188.0,1217.0,1217.0,2,6.0,2.0,497.0,173000.0,1,0,0,0,0,0
187,5,1916,1987,660.0,808.0,1656.0,2,8.0,1.0,180.0,135000.0,1,0,0,1,0,0
188,5,1979,1979,1086.0,1224.0,1224.0,0,6.0,2.0,528.0,153337.0,1,0,0,1,0,0
189,8,2001,2002,1593.0,1593.0,1593.0,1,5.0,2.0,682.0,286000.0,0,1,1,0,0,0
190,8,1932,1994,853.0,1549.0,2727.0,2,10.0,2.0,440.0,315000.0,0,0,0,0,0,0
191,7,1972,2004,725.0,725.0,1479.0,1,7.0,2.0,484.0,184000.0,1,0,0,0,0,1
192,7,1999,1999,1431.0,1431.0,1431.0,2,6.0,2.0,666.0,192000.0,0,0,0,0,0,0
193,7,2004,2004,970.0,970.0,1709.0,2,7.0,2.0,380.0,130000.0,0,0,0,0,0,0
194,5,1972,1972,864.0,864.0,864.0,1,5.0,1.0,352.0,127000.0,1,0,0,1,0,1
195,6,1976,1976,855.0,855.0,1456.0,2,7.0,2.0,440.0,148500.0,1,0,0,1,0,0
196,7,2007,2007,1726.0,1726.0,1726.0,2,8.0,3.0,786.0,311872.0,0,1,1,0,1,0
197,8,1918,1990,1360.0,1360.0,2747.625,2,8.0,2.0,795.0,235000.0,0,0,0,0,0,1
198,6,1912,1950,755.0,929.0,2229.0,1,8.0,0.0,0.0,104000.0,1,0,0,1,0,1
199,8,2004,2005,1713.0,1713.0,1713.0,2,7.0,3.0,856.0,274900.0,0,1,1,0,0,0
200,4,2003,2004,1121.0,1121.0,1121.0,2,5.0,2.0,440.0,140000.0,1,0,0,1,0,0
201,6,1977,1977,1196.0,1279.0,1279.0,2,6.0,2.0,473.0,171500.0,1,0,0,1,0,1
202,6,1924,1950,617.0,865.0,1310.0,2,6.0,1.0,398.0,112000.0,1,0,0,1,0,0
203,6,2004,2004,848.0,848.0,848.0,1,3.0,2.0,420.0,149000.0,0,0,0,0,0,0
204,5,1947,1950,720.0,720.0,1284.0,1,5.0,1.0,240.0,110000.0,1,0,0,1,0,1
205,7,1990,1990,1424.0,1442.0,1442.0,2,5.0,2.0,500.0,180500.0,1,0,0,1,0,0
206,5,1962,1962,1140.0,1696.0,1696.0,1,8.0,1.0,349.0,143900.0,1,0,0,1,0,1
207,4,1960,1960,1100.0,1100.0,1100.0,1,6.0,1.0,312.0,141000.0,1,0,0,1,0,1
208,7,1988,1989,1157.0,1180.0,2062.0,2,7.0,2.0,454.0,277000.0,0,0,0,1,0,0
209,6,1964,1964,1092.0,1092.0,1092.0,1,6.0,2.0,504.0,145000.0,1,0,0,1,0,0
210,5,1925,1950,864.0,864.0,864.0,1,5.0,0.0,0.0,98000.0,1,0,0,1,0,1
211,6,2009,2009,1212.0,1212.0,1212.0,2,6.0,2.0,460.0,186000.0,1,0,0,0,0,0
212,7,2009,2009,900.0,932.0,1852.0,2,7.0,2.0,644.0,252678.0,1,0,0,0,0,0
213,5,1995,1995,990.0,990.0,990.0,1,5.0,2.0,576.0,156000.0,1,0,0,1,0,0
214,6,1977,1977,689.0,689.0,1392.0,1,6.0,1.0,299.0,161750.0,1,0,0,1,0,0
215,5,1957,1996,1070.0,1236.0,1236.0,1,6.0,1.0,447.0,134450.0,1,0,0,0,0,1
216,7,2004,2004,1436.0,1436.0,1436.0,2,8.0,2.0,484.0,210000.0,0,0,0,0,0,0
217,4,1925,1950,686.0,810.0,1328.0,1,8.0,1.0,210.0,107000.0,1,0,0,1,0,1
218,7,1939,2006,798.0,1137.0,1954.0,1,8.0,2.0,431.0,311500.0,0,0,0,0,0,1
219,7,2005,2006,1248.0,1248.0,1248.0,2,5.0,2.0,438.0,167240.0,0,0,0,0,0,0
220,7,2006,2006,1498.0,1498.0,1498.0,2,5.0,2.0,675.0,204900.0,0,0,0,0,0,0
221,6,2002,2002,1010.0,1010.0,2267.0,2,8.0,2.0,390.0,200000.0,0,0,0,0,0,0
222,6,1975,1975,713.0,811.0,1552.0,2,6.0,2.0,434.0,179900.0,1,0,0,1,0,0
223,4,1971,1971,864.0,864.0,864.0,1,4.0,2.0,576.0,97000.0,1,0,0,1,0,1
224,10,2003,2003,2052.0,2155.125,2392.0,2,8.0,3.0,938.25,340037.5,0,1,1,0,1,0
225,5,1971,1971,630.0,630.0,1302.0,2,6.0,1.0,280.0,112000.0,1,0,0,1,0,1
226,7,1995,1995,1203.0,1214.0,2520.0,2,9.0,3.0,721.0,290000.0,0,0,0,0,0,0
227,6,1970,1970,483.0,483.0,987.0,1,5.0,1.0,280.0,106000.0,1,0,0,1,0,1
228,5,1967,1967,912.0,912.0,912.0,1,5.0,1.0,336.0,125000.0,1,0,0,1,0,1
229,7,2005,2006,1373.0,1555.0,1555.0,2,7.0,2.0,430.0,192500.0,0,0,0,0,0,0
230,6,1959,1959,1194.0,1194.0,1194.0,1,6.0,1.0,312.0,148000.0,1,0,0,1,0,1
231,8,1995,1996,1462.0,1490.0,2747.625,2,9.0,3.0,810.0,340037.5,0,0,1,0,0,0
232,6,1972,1972,483.0,483.0,987.0,1,5.0,1.0,288.0,94500.0,1,0,0,1,0,1
233,5,1976,1976,894.0,894.0,894.0,1,5.0,1.0,308.0,128200.0,1,0,0,1,0,1
234,6,2002,2002,860.0,860.0,1960.0,2,8.0,2.0,440.0,216500.0,0,0,0,0,0,0
235,6,1971,1971,483.0,483.0,987.0,1,5.0,1.0,264.0,89500.0,1,0,0,1,0,1
236,7,2004,2004,1414.0,1414.0,1414.0,2,6.0,2.0,494.0,185500.0,0,0,0,0,0,0
237,7,1993,2003,996.0,1014.0,1744.0,2,7.0,2.0,457.0,194500.0,0,0,0,0,0,0
238,8,2007,2007,1694.0,1694.0,1694.0,2,7.0,3.0,818.0,318000.0,0,1,0,0,1,0
239,6,1945,1950,735.0,798.0,1487.0,1,7.0,1.0,220.0,113000.0,1,0,0,1,0,1
240,8,2008,2008,1566.0,1566.0,1566.0,2,7.0,2.0,750.0,262500.0,0,0,0,0,0,0
241,5,1945,1997,686.0,866.0,866.0,1,4.0,0.0,0.0,110500.0,1,0,0,0,0,1
242,5,1900,1950,540.0,889.0,1440.0,1,6.0,1.0,352.0,79000.0,1,0,0,1,0,1
243,6,1980,1980,626.0,626.0,1217.0,1,6.0,1.0,288.0,120000.0,1,0,0,1,0,0
244,7,1994,2002,948.0,1222.0,2110.0,2,8.0,2.0,463.0,205000.0,0,0,0,0,0,0
245,7,1988,1988,1845.0,1872.0,1872.0,2,6.0,2.0,604.0,241500.0,1,0,0,1,0,0
246,6,1910,1950,1020.0,908.0,1928.0,2,9.0,1.0,440.0,137000.0,1,0,0,0,0,0
247,6,1954,1954,1367.0,1375.0,1375.0,1,5.0,2.0,451.0,140000.0,1,0,0,1,0,1
248,7,2003,2003,840.0,840.0,1668.0,2,8.0,2.0,500.0,180000.0,0,0,0,0,0,0
